4.571428571	2.6	4.75	5	4.833333333
3.714285714	3.6	3.25	5	4
3.142857143	2.8	3.875	3	4
4.142857143	3.2	4.25	4.4	4.833333333
3	2.8	3.25	2.75	4.833333333
4.857142857	2.8	4	3.8	4.833333333
3.857142857	3.4	4.125	3.6	4.666666667
3.857142857	3.6	3.125	4.6	5
4.428571429	3.2	4.5	4.4	4.833333333
2.571428571	1.4	2.125	2.6	4.666666667
4.428571429	3.8	4.125	4.2	4.833333333
4.571428571	4	5	4	5
3.714285714	2.8	3.25	3	3.5
4	1.8	4.25	2.8	5
3.714285714	2.2	3.125	3.6	3.666666667
4.571428571	3	3.25	3.4	4.5
3.857142857	3	4.25	4	5
3.285714286	3.2	3.875	3	4
3.857142857	3.2	3.5	3.6	4
2.714285714	2.4	2.625	3	3.5
4	3	3	4	5
4.714285714	4.2	3.75	4.2	4.166666667
5	5	5	5	5
3.857142857	3	4	3	4.5
3.285714286	3	2.875	3.8	3.666666667
2.285714286	3.2	2.875	2.4	4.166666667
4.285714286	3	4	3.8	4.833333333
3.857142857	3.2	3.625	3.2	3.666666667
4.285714286	2	3.75	4.4	5
3.428571429	3	3.625	4	4.5
4.714285714	3.2	2	3.2	4.333333333
3.857142857	3.6	4.625	4.6	5
3.142857143	3.4	4	3.8	5
4.142857143	3.8	4.125	4	5
5	5	5	5	5
3.285714286	3	3.5	4	4.333333333
4.714285714	4.4	4.375	4.6	5
3.571428571	3.8	4.25	3.4	4.833333333
4	3.4	4.125	3.8	5
4.428571429	4.8	4.375	5	5
2.714285714	2	3.375	3.2	4.666666667
4	3.2	4.125	4.2	4.833333333
4.571428571	3	4.5	4	5
1	1	1	1	1
4	3.8	3.75	4	4.166666667
2.857142857	3.2	2.875	3.6	3.333333333
2.285714286	2.2	3.75	3.4	4.5
3.428571429	3.2	3.5	3.6	4.333333333
4.285714286	2	3.875	3.6	4.5
3.857142857	2.2	3.5	3.6	4.5
3.285714286	2.2	3.625	3	3.833333333
4	4.2	4.125	4	4.666666667
3	3.4	4	3.4	4.166666667
5	4.2	5	4.6	5
5	4	4.375	4.8	5
3.428571429	2.4	4.125	4	4.166666667
4.142857143	4.8	4.875	5	5
2.571428571	3.4	3.375	4.4	3.5
4.142857143	2.2	4.125	3.6	4
3.714285714	3.2	4.125	3.6	4.333333333
4.428571429	3.25	4.125	3.8	4.833333333
3.428571429	2.8	2.5	3.6	4.166666667
3.571428571	2.6	3.875	4.4	5
3.571428571	3.2	3.875	3.8	5
4	4.8	4.5	5	5
4.142857143	3.8	4.5	5	5
3.428571429	2.8	3.75	3	3.833333333
4.142857143	3.6	3.5	4	4
3	3.2	3.875	4	3.833333333
3.714285714	4.8	4	4	4.5
3.142857143	3	2.875	3.2	4.333333333
2.857142857	3.4	3.75	4.8	5
4.857142857	2.8	4.75	4	5
