"alpha[1,1,1]" "y1~1" "y1~f" "f=~x1" "f=~x2" "f=~x3" "f=~x4" "nu[1,1,1]" "nu[2,1,1]" "nu[3,1,1]" "nu[4,1,1]" "psi[1,1,1]" "y1~~y1" "x1~~x1" "x2~~x2" "x3~~x3" "x4~~x4"
0 -0.105697873612861 0.76139343794539 0.81573259791298 0.689225567656481 0.829384281674895 0.706337314553881 0 0 0 0 1 0.560358598837743 0.461464297893436 0.496118837101222 0.41953130293819 0.527128250623553
0 0.0710279475920276 0.691436916791518 0.762497163694404 0.744818974996334 0.631656994756055 0.661466526334693 0 0 0 0 1 0.606995106537791 0.449211100414457 0.544705146278092 0.61572007363729 0.564853080404863
0 -0.107618727191056 0.690584811700953 0.603256512240757 0.629617170089542 0.73381881114122 0.692200793260279 0 0 0 0 1 0.578162563183876 0.559286079742534 0.520959252935 0.428375566969233 0.482407765930286
0 0.0539790884638135 0.666546141814435 0.600744273026042 0.560016784228673 0.680983150150743 0.676056317752446 0 0 0 0 1 0.496871815527789 0.54998381417077 0.51467605028776 0.444425344087462 0.513450728086015
0 -0.102745758774723 0.732281131748957 0.682315641706501 0.635681871872179 0.634403213240035 0.728425467329788 0 0 0 0 1 0.511771325107586 0.558142673761988 0.554934610418833 0.496923405931437 0.44897957976207
0 -0.126504815009448 0.789320209070675 0.766360167528853 0.793158584056702 0.744665581983448 0.701181790331399 0 0 0 0 1 0.467049330275803 0.458584527741513 0.457884416455824 0.487272765227766 0.564506098924763
0 -0.101907239005496 0.721512975129126 0.633258862591227 0.615360550472956 0.632955854516599 0.678100742437171 0 0 0 0 1 0.495205347420159 0.561771485070736 0.573724171741196 0.522914945705857 0.454038740007819
0 -0.102725679348464 0.757825769328052 0.723874275043267 0.711626446319053 0.706585508757443 0.742508907679361 0 0 0 0 1 0.518705146102675 0.519818840023974 0.450426941356306 0.546382061336811 0.595066825504256
0 -0.106034693843173 0.731533980057632 0.656442579519744 0.66266461158728 0.716962059567172 0.7455248080162 0 0 0 0 1 0.560459291748694 0.582292206547708 0.596213957842808 0.490716632289388 0.496518037543027
0 0.0701338396954485 0.650656761003102 0.645458505041041 0.730504098610898 0.719946764245682 0.682140213967425 0 0 0 0 1 0.605983791563416 0.553493701812251 0.41132229381726 0.465364571665149 0.458853509616423
0 0.0552706710854302 0.823058290980688 0.85529884832211 0.649526939007071 0.767514251291265 0.694197292485849 0 0 0 0 1 0.487921743464777 0.526107114120084 0.591100288822301 0.529739573832104 0.589586059809355
0 -0.100958566254765 0.74281476467981 0.57955658001075 0.773669418635176 0.659220665964632 0.712271851034036 0 0 0 0 1 0.498071107878606 0.494163051586957 0.444613466014791 0.49937066492925 0.467873562605946
0 -0.104470955284159 0.751156252701886 0.770749216806581 0.618144366471341 0.6978873263964 0.645754313826243 0 0 0 0 1 0.491088568458375 0.485607619511281 0.559620546326531 0.577163265864154 0.563685306287689
0 -0.036589229540819 0.654834228108161 0.76568555524308 0.613555197578721 0.659855656090076 0.679505911400743 0 0 0 0 1 0.555190360488684 0.492890596198466 0.632803292393306 0.581246317607743 0.534149513937883
0 0.000699778370765733 0.75689387828132 0.655175139741624 0.673151430665067 0.777864967650974 0.758245730156722 0 0 0 0 1 0.539755897969651 0.507645133277283 0.502690494675104 0.531375823837928 0.428437679160564
0 -0.104426561556578 0.74757864121173 0.70062253748276 0.71757271300432 0.662995753116543 0.687270778427182 0 0 0 0 1 0.534386564061602 0.607454947293972 0.459370799474346 0.543454254612123 0.556899702633442
0 -0.0336148119010933 0.697086844177583 0.72622493014463 0.735262383634114 0.579977261235617 0.653517877851723 0 0 0 0 1 0.46387158701605 0.628685959741711 0.482767988345641 0.546962243417839 0.524949906307912
0 0.0227808505341248 0.606654389872761 0.714783194242073 0.621682493367391 0.781245523919213 0.770972072709126 0 0 0 0 1 0.614158547014367 0.452856538270219 0.492466376792896 0.484115018276401 0.531545424463139
0 0.0203158841373599 0.575567838294184 0.779287853245251 0.684455198681011 0.764182529408493 0.783413197227466 0 0 0 0 1 0.517885198185716 0.481382896201203 0.610668081840633 0.455382844622115 0.514146703568954
0 0.0201818196617768 0.557686035471089 0.711902490943887 0.660424688295794 0.726430460739378 0.738685396372388 0 0 0 0 1 0.508295906032854 0.487559577885794 0.558488381047057 0.487303678028399 0.498172181231862
0 -0.0475813763425273 0.660110798346332 0.670883289553759 0.74666113834099 0.633313974752439 0.648635450849173 0 0 0 0 1 0.573289009625554 0.482838657029546 0.444660159376714 0.496495204960786 0.516156882428729
